bone_pairs,adduction,abduction,flexion,extension,pinch,grasp,jar,pinch_load,grasp_load,jar_load,neutral
tpm-mc1,True,False,False,False,False,False,False,True,False,False,False
tpm-sca,False,False,False,False,False,False,False,False,False,False,False
tpm-mc2,False,False,False,False,True,True,False,True,False,False,False
tpm-tpd,False,False,False,False,False,False,False,False,False,False,False
rad-uln,False,False,False,False,False,False,False,False,False,True,False
rad-sca,False,False,False,False,False,False,False,False,False,False,False
rad-lun,False,False,False,False,False,False,False,False,False,False,False
sca-tpd,False,False,False,False,False,False,False,False,False,False,False
sca-lun,False,False,False,False,False,False,False,False,False,False,False
sca-cap,False,False,False,False,False,False,False,False,False,False,False
lun-cap,False,False,False,False,False,False,False,False,False,False,False
lun-ham,False,False,False,False,False,False,False,False,False,False,False
lun-trq,False,False,False,False,False,False,False,False,False,False,False
tpd-mc2,False,True,False,False,True,True,True,True,True,False,False
tpd-cap,True,True,True,True,True,True,True,True,True,True,True
cap-ham,False,False,False,False,False,False,False,False,False,False,False
cap-mc2,False,False,False,False,False,False,False,False,False,False,False
cap-mc3,False,False,True,False,False,True,True,True,True,False,True
cap-mc4,False,False,False,False,False,False,False,False,False,False,True
trq-ham,False,False,False,False,False,False,False,False,False,False,False
trq-pis,False,False,False,False,False,False,False,False,False,False,False
ham-mc4,False,False,False,False,False,True,False,True,False,False,True
ham-mc5,False,False,False,False,True,False,False,False,False,False,False
mc1-mc2,False,False,False,False,False,False,False,False,False,False,False
mc2-mc3,True,False,False,True,True,True,True,True,True,True,True
mc3-mc4,False,False,False,False,False,False,False,False,False,False,True
mc4-mc5,True,True,True,True,True,False,False,True,False,False,True
