bone_pairs,adduction,abduction,flexion,extension,pinch,grasp,jar,pinch_load,grasp_load,jar_load,neutral
tpm-mc1,False,True,True,True,False,True,True,True,True,True,False
tpm-sca,True,True,True,True,True,True,True,True,True,True,False
tpm-mc2,True,True,True,True,True,True,True,True,True,True,False
tpm-tpd,True,False,True,True,True,True,True,True,True,True,False
rad-uln,False,False,False,False,False,False,False,False,False,False,False
rad-sca,False,False,False,False,False,False,False,False,False,False,False
rad-lun,False,False,False,False,False,False,False,False,False,False,False
sca-tpd,True,True,True,True,False,False,True,True,False,False,False
sca-lun,False,False,False,False,False,False,False,False,False,False,False
sca-cap,False,False,False,False,False,False,True,True,False,True,False
lun-cap,True,True,True,True,False,False,True,True,False,False,False
lun-ham,False,False,False,False,False,False,False,False,False,False,False
lun-trq,False,False,False,False,False,False,False,False,False,False,False
tpd-mc2,True,True,True,True,True,True,True,True,True,True,True
tpd-cap,True,True,False,True,True,False,False,False,True,False,True
cap-ham,True,True,True,True,False,True,True,True,False,True,False
cap-mc2,True,True,True,True,True,True,True,True,True,True,False
cap-mc3,True,True,True,True,True,True,True,True,True,True,False
cap-mc4,True,True,True,True,True,True,True,False,True,True,False
trq-ham,False,False,False,False,False,False,True,False,False,False,False
trq-pis,False,False,False,False,False,False,True,True,False,False,False
ham-mc4,True,True,True,True,True,True,True,True,True,True,False
ham-mc5,True,True,True,True,True,True,True,True,True,True,False
mc1-mc2,False,False,False,False,False,False,False,False,False,False,False
mc2-mc3,True,True,True,True,True,True,True,True,True,True,True
mc3-mc4,True,True,True,True,True,True,True,True,True,True,True
mc4-mc5,True,True,True,True,True,True,True,True,True,True,True
